Название фильма,Страны,Режиссер,Жанр,Год
Аркадская дева,США,Дэвид Уорк Гриффит,драматический фильм,1910
"Арлезианка (фильм, 1908)",Франция,Альбер Капеллани,драма,1908
Арлетт (фильм),Франция,Клод Зиди,мелодрамакомедиякриминальный фильм,1997
Арли: второй Париж,"Нигер, Бенин",Идриссу Моракпай,Документальное кино,2007
Армавир (фильм),СССР,Вадим Абдрашитов,драма,1991
Армагеддец,США  Великобритания  Япония,Эдгар Райт,научно-фантастическая комедия,2013
"Армагеддон (фильм, 1962)",СССР,Михаил Израилев,драма,1962
"Армагеддон (фильм, 1998)",США,Майкл Бэй,фильм-катастрофадрамафантастика,1998
Арман (фильм),СССР,Дооронбек Садырбаев,Драма,1975
"Армида, драма одной невесты",Италия,Бруно Маттеи[1],драматический фильм,1970
Армия «Трясогузки» (фильм),СССР,Александр Лейманис,приключения,1964
Армия «Трясогузки» снова в бою,СССР,Александр Лейманис,приключения,1968
"Армия (фильм, 1944)",Япония,Кэйсукэ Киносита,фильм-драма,1944
Армия Бранкалеоне,Италия Франция Испания,Марио Моничелли,комедияприключения,1966
Армия воров,США,Маттиас Швайгхёфер,"приключения,фильм-ограбление",2021
Армия мертвецов,США,Зак Снайдер,фильм о зомбифильм-ограбление,2021
Армия преступников,Франция,Робер Гедигян[1][3][…],военный фильм[1][2][…] и драматический фильм[1][2][…],2009
Армия семерых бойцов,Гонконг,Чжан ЧэСюн Тинъу (сорежиссёр)У Ма[en] (сорежиссёр),боевиквоенная драма,1976
Армия теней,Франция Италия,Жан-Пьер Мельвиль,драмавоенный фильм,1969
Армия тьмы,США,Сэм Рэйми,комедийный фильм ужасов,1992
Армия Франкенштейна,США Нидерланды Чехия,Ричард Рапхорст,ужасы,2013
Армянская рапсодия (фильм),Бразилия,Гарри КананянСезар Кананян,документальный,2012
Армянский вопрос (фильм),Россия,Андрей БуровскийГригорий Жгилёв,документальный,2017
"Армянский киноконцерт (киноконцерт, 1941)",Армянская ССР  СССР,Патвакан Бархударян,музыкальный фильм и короткометражный фильм,1941
Арн: Королевство в конце пути,Дания Швеция Финляндия Великобритания Норвегия  Германия,Петер Флинт,исторический фильм,2008
Арн: Рыцарь-тамплиер,Швеция  Дания  Норвегия  Финляндия  Германия,Петер Флинт,исторический фильм,2007
Арнульф Райнер (фильм),Австрия,Петер Кубелка,экспериментальное кино,1960
Аромат дыни в Самарканде,Узбекистан,Али Хамраев,"драма
комедия",2021
Аромат зелёной папайи,Франция   Вьеткьеу Франции[en],Чан Ань Хунг,драмамелодрамамузыкальный фильм,1993
Аромат кукурузы,Италия,Джанни Да Кампо,драма,1986
Аромат любви Фанфан,Франция,Александр Жарден,мелодрамакомедия,1993
Арсен (фильм),СССР,Михаил Чиаурели,"драма, исторический фильм",1937
"Арсен Люпен (фильм, 2004)",Франция Италия Испания Великобритания,Жан-Поль Саломе,боевикприключенческий фильмкриминальный фильммелодрама,2004
Арсенал (фильм),СССР,Александр Довженко,исторический фильм,"1929, 25 февраля 1929[1], 26 марта 1929[1] и 9 ноября 1929[1]"
Арт-колледж 1994,Китай,Liu Jian[d],,2023
Артек. Большое путешествие,Россия,Карен ЗахаровАрмен Ананикян,"комедия, приключения, фантастика",2022
Артём (фильм),СССР,"Николай Кошелев, Валентин Морозов","историко-революционный, фильм-биография, драма",1978
Артемизия (фильм),Франция Италия Германия,Аньес Мерле,"драма, биография, исторический",1997
Артемис Фаул (фильм),США,Кеннет Брана,научное фэнтезиприключения,2020
"Артефакт (фильм, 2002)",США,Дэнни ГрейвзРичард Уэнк,слэшер,2001
"Артефакт (фильм, 2012)",США,Бартоломью Каббинс,документалистика,2012
Артист (фильм),Франция Бельгия,Мишель Хазанавичус,драмамелодрамакомедия,2011
Артист из Кохановки,СССР,Григорий Липшиц,комедия,1961
Артистка (фильм),Россия,Станислав Говорухин,мелодрама / комедия,2007
Артистка из Грибова,СССР,Леонид Квинихидзе,лирическая комедия,1988
Артисты сгоревшего театра,Камбоджа Франция,Ритхи Пань[2][3],документальная драма,15 мая 2005[1]
Артур (фильм),США,Стив Гордон,комедиямелодрама,1981
Артур 2: На мели,США,Бад Йоркин[d][1][2],комедия,1988
Артур и война двух миров,Франция,Люк Бессон,мультфильмфэнтезиприключениесемейный,2010
Артур и месть Урдалака,Франция США,Люк Бессон,мультфильмфэнтезиприключениесемейный,2009
Артур и минипуты (фильм),Франция США,Люк Бессон,Мультфильм Фэнтези Приключения СемейныйКинокомедия,2006
"Артур Ньюман, профессионал гольфа",США,Данте Ариола,комедийная драма и комедийный фильм[5],10 сентября 2012[3] и 26 сентября 2013[4]
Артур. Идеальный миллионер,США,Джейсон Уайнер,комедиямелодрама,2011
"Архангел (фильм, 1990)",Канада,Гай Мэддин,МелодрамаАвангардный фильмСюрреалистический фильмАртхаус,1990
"Архангел (фильм, 2005)",Великобритания,Джон Джонс[en],триллер,2005
Архангельский мужик,СССР,Марина Голдовская,документальный фильм,1986
"Архипелаг (фильм, 2021)",Россия,Алексей ТельновМихаил Малахов-младший,исторический,2021
Архипелаг (фильм),Великобритания,Джоанна Хогг,драматический фильм[1][2],2010
Архитектор (фильм),США,Мэтт Таубер,Драма,2006
Архитекторы страха,США,Байрон Хаскин,фантастика,1963
Архитектура блокады,Россия,Максим Якубсон,документальный,2020
"Аршин мал алан (фильм, 1916)",Российская империя,Борис Светлов,музыкальная комедия,1916
"Аршин мал алан (фильм, 1937)",США,Сетраг Вартян,мелодрамамузыкальный фильм,1937
"Аршин мал алан (фильм, 1945)","СССР,  Азербайджанская ССР",Рза ТахмасибНиколай Лещенко,Музыкальная комедия,1945
"Аршин мал алан (фильм, 1965)","СССР,  Азербайджанская ССР",Тофик Таги-Заде,музыкальная комедия,1965
Арье (фильм),Россия  Израиль  Литва,Роман Качанов,Драма,2004
Арья 2,Индия,Сукумар,боевикромантическая комедия,2009
Ас из асов,"Франция, ФРГ",Жерар Ури,комедия,1982
Асако 1 и 2,Япония Франция[1],Рюсукэ Хамагути,драматический фильм и романтический фильм,1 сентября 2018
"Асиф, Васиф, Агасиф",СССР,Расим Исмайлов,детский фильм,1983
Асоциальная сеть,США,Тиллер Расселл,триллер,2020
Асса (фильм),СССР,Сергей Соловьёв,драма[1],1987
"Ассистентка (фильм, 2006)",Франция,Дени Деркур,психологическая драма,2006
Ассоль (телефильм),СССР,Борис Степанцев,мелодрама,1982
Ассоциация злоумышленников,Франция,Клод Зиди,приключенческий фильмкомедиятриллер,1987
Астенический синдром (фильм),СССР,Кира Муратова,драма,1989
Астерикс и Обеликс в Британии,Франция Италия Испания Венгрия[1],Лоран Тирар,комедияприключения,2012
Астерикс и Обеликс против Цезаря,Франция Италия Германия,Клод Зиди,приключениясемейный фильмкомедия,1999
Астерикс и Обеликс: Миссия «Клеопатра»,Франция Германия,Ален Шаба,"комедия, пеплум",2002
Астерикс и Обеликс: Поднебесная,Франция,Гийом Кане,комедияприключения,2023
Астерикс на Олимпийских играх,Франция Германия Бельгия Италия Испания,Тома ЛангманнФредерик Форестье,комедия,2008
Астрал (серия фильмов),США,"Джеймс Ван (1-2),  Ли Уоннелл (3),  Адам Робител[en] (4),  Патрик Уилсон (5)",фильм ужасов,2011 — н. в.
Астрал (фильм),США Канада,Джеймс Ван,фильм ужасовмистика[1],13 сентября 2010[3]
Астрал 3,США,Ли Уоннелл,фильм ужасов,2015
Астрал 4: Последний ключ,Великобритания,Гарри Робител,фильм ужасов,2018
Астрал 5: Красная дверь,США,Патрик Уилсон,фильм ужасов,2023
Астрал: Глава 2,США,Джеймс Ван,фильм ужасов,2013
Астрал: Новое измерение,Великобритания,Крис Мул,ужасы,2018
"Астролог (фильм, 1976)",США,Крейг Денни,романтикадрамафантастика,1976
Астронавт (фильм),США,Юхан Ренк,фантастика,2024 и 1 марта 2024[1]
"Асфальт (фильм, 1929)",Германия,Джоэ Май,драматический фильм и немое кино,1929
Асфальтовые джунгли,США,Джон Хьюстон,нуарный фильм-ограбление,1950
Асы в небе,Великобритания  Франция,Джек Голд,драма,1976
"Ася (фильм, 1977)",СССР ГДР,Иосиф Хейфиц,мелодрама,1977
"Ася (фильм, 2020)",Израиль,Рути Прибар,драма,2020
"Атака (фильм, 1986)",СССР,Игорь Николаев,кинодрама,1986
Атака Годзиллы,Япония,Исиро Хонда,приключениядетективфантастикасемейный,1969
Атака коммандос,Италия,Бруно Маттеи,боевик[1] и военный фильм,1987
Атака крабов-монстров,США,Роджер Корман,ужасы,1956
Атака куриных зомби,США,Ллойд Кауфман,"комедия, хоррор, мюзикл",2006
"Атака лёгкой кавалерии (фильм, 1912)",США,Джеймс Сирл-Доули,драматический фильм,1912
"Атака лёгкой кавалерии (фильм, 1936)",США,Майкл Кёртис,мелодрама,1936
"Атака лёгкой кавалерии (фильм, 1968)",Великобритания,Тони Ричардсон,"исторический фильм, военный фильм[1] и драматический фильм",1968
Атака мертвецов: Осовец,Россия Белоруссия,Василий Чигинский,военный,2018
Атака на Пёрл-Харбор (фильм),Япония,Идзуру Нарусима,"военный, драма, биография",2011
Атака пауков,США Австралия Германия,Эллори Элкайем,ужасычёрная комедия,2002 и 15 августа 2002[1]
Атака титанов (фильм),Япония,Синдзи Хигути,фантастикадрама,2015
Атаки 26/11,Индия,Рам Гопал Варма[1],триллердокудрамакриминальныйисторический,2013
Атакующая группа «Зет»,Австралия,Тим Бёрсталл[en],боевик,1982
Аталанта (фильм),Франция,Жан Виго,мелодрама,1934
"Аталия (фильм, 1910)",Франция,Мишель КарреАльбер Капеллани,трагедия,1910
Атаман Кодр,СССР,Михаил КаликБорис РыцаревОльга Улицкая,драмакиноповесть,1958
Аткинс (фильм),ГДР Румыния,Helge Trimpert,"Вестерн, Драма",1985
Атлант расправил плечи: Часть 1,США,Пол Йоханссон,"драма, фантастика",2011
Атлант расправил плечи: Часть 2,США,Джон Путч,"фантастика, драма, детектив",12 октября 2012 г.
Атлант расправил плечи: Часть 3,США,Джеймс Манера,"научно-фантастический фильм[4][5], драматический фильм[4][5], фильм-тайна[4][5], антиутопический фильм, экранизация романа[d] и политический триллер[d]",2014[3]
"Атлантида (фильм, 1921)",Франция Бельгия,Жак Фейдер[1][2],"фэнтезийный фильм[2], немое кино и экранизация литературного произведения[d]",28 мая 1921[2]
"Атлантида (фильм, 1932)",Франция Германия,"Пабст, Георг Вильгельм[1][3]","фэнтезийный фильм[1], приключенческий фильм[2], научно-фантастический фильм, экранизация литературного произведения[d] и драматический фильм",1932
"Атлантида (фильм, 2002)",Россия Украина,Александр Павловский,мелодрама,2002
"Атлантида (фильм, 2017)",Франция Испания,Ксавье Жанс[1],научно-фантастический фильм ужасов,2017
"Атлантида (фильм, 2019)",Украина,"Васянович, Валентин Николаевич",драматический фильм,4 сентября 2019
Атлантида Русского Севера,Россия,Софья Горленко,Документальное кино,2015
"Атлантида, погибший континент",США,Джордж Пал,приключенияфантастика,1961
Атлантик (фильм),Великобритания,Эвальд Андре Дюпон,боевикдрамафильм-катастрофа,1929
Атлантик-Сити (фильм),Канада  Франция,Луи Маль,криминальная драма,1980
Атлантика (фильм),Сенегал Франция Бельгия,Мати Диопruen,сверхъестественная фантастикаромантическая драма,2019
Атлантис (фильм),Франция Италия,Люк Бессон,документальный фильммузыкальный фильм,1991
Атлантический рубеж,США,Джаред Кон,фантастикаприключениябоевикпародия,2013
Атланты держат небо,Россия Белоруссия,Александр Городницкий Наталья Касперович,документальный  сериал,2010
Атланты и кариатиды (фильм),СССР,"Александр Гуткович, Михаил Ганкин",драма,1980
Атмосфера (фильм),Швеция,Андрес Уерберг,экспериментальный кинематограф,2020
"Атомная подводная лодка (фильм, 1959)",США,Спенсер Гордон Беннет,научная фантастика,1959
Атомная школа,США,"Ричард Хайнс,Майкл Херц,Ллойд Кауфман","фантастика, хоррор",1986
Атомная школа 2,США,Эрик Лузил,"научная фантастика, комедия, хоррор",1991
Атомная школа 3,США,Эрик Лузил,"научная фантастика, комедия, хоррор",1994
Атомная школа: Возвращение. Часть 1,США,Ллойд Кауфман,"научная фантастика, комедия, хоррор",2013
Атомная школа: Возвращение. Часть 2,США,Ллойд Кауфман,"научная фантастика, комедия, хоррор",2017
Атомные кинематографисты,США,Питер Куран,документальный научно-популярный фильм[1],1999
Атомный Иван,Россия,Василий Бархатов,мелодрамакомедия,2012
Атомный поезд,США[1],Дэвид ДжексонДик Лоури,фильм-катастрофабоевикдраматриллер,
Атомный Человек против Супермена,США[2],Спенсер Гордон Беннет,фантастика,1950
Атрагон: Летающая суперсубмарина,Япония,Исиро Хонда,приключениятокусацудрама,1963
Аттенберг,Греция,Афина Рахель Цангари,драма,2010
Аттестат зрелости (фильм),СССР,Татьяна Лукашевич,драма,1954
"Аттила (фильм, 1954)",Италия Франция,Пьетро Франчиши[en],пеплум,1954
Аттила-завоеватель (мини-сериал),США Литва,Дик Лоури,исторический,
"Аттракцион (фильм, 1994)",Грузия,Отар Шаматава,драмапритча,1994
"Аты-баты, шли солдаты…",СССР,Леонид Быков,"военный фильм,драма",1976
Ау-у!,СССР,Виктор КрючковГеральд БежановЮрий Горковенко,комедия,1975
Ау! Ограбление поезда,СССР,Хабиб Файзиев,боевик,"10 ноября 1991 (театральная версия)

1 июля 1999 (телевизионная версия) (ОРТ)"
Аудиенция (фильм),Италия  Франция,Марко Феррери,комедия,1972
Аукцион (фильм),СССР,Валерий Курыкин,,1983
Аура (фильм),Аргентина Франция Испания,Фабиан Бьелински,криминальный фильмдраматриллер,2005
"Аустерлиц (фильм, 1960)",Франция Югославия Италия Лихтенштейн,Абель Ганс,драмаисторический фильм,1960
"Аустерлиц (фильм, 2016)",Германия,Сергей Лозница,документальный фильм,2016
Аутло (фильм),Россия,Ксения Ратушная[d],драматический фильм,29 октября 2020 и 2019
Афганец (фильм),СССР,Владимир Мазур,драма,1991
Афганская война (фильм),Россия,"Алексей Крол, Татьяна Крол",военный фильмдокументальный фильм,2010 (премьера)
Афганские рыцари,Канада  США,Аллан Хэромон,мистический триллер,2007
Афганский излом,СССР Италия,Владимир Бортко,драма,1991
"Афера (фильм, 1973)",США,Джордж Рой Хилл,фильм-ограбление  бадди-муви,1973
"Афера (фильм, 2001)",Россия,Евгений Лаврентьев,криминальный фильм,2001
"Афера (фильм, 2003)",США,Джеймс Фоули,криминальный фильмтриллер,2003
Афера в Майами,Франция[4] Бразилия Испания Бельгия,Оливье Ассаяс,шпионский фильм и драматический фильм,2019
"Афера века (фильм, 2020)",Аргентина,Ариэль Виноград,"драма, криминал, комедия",2020
Афера доктора Нока,Франция,Лоррэйн Леви,трагикомедия,2017
Афера на Тринидаде,США,Винсент Шерман,Фильм нуар Триллер Мелодрама,1952
Афера Оливера Твиста (фильм),Великобритания,Мартин Оуэн,криминальный фильм,2021
Афера по-американски,США,Дэвид О. Расселл,криминальная чёрная комедия,2013
Афера по-голливудски,США,Джордж Галло,комедийный боевик,12 октября 2020 и 24 июня 2021
Афера под прикрытием,США Великобритания,Брэд Фурман  (англ.) (рус.,криминальная драма,2016
Афера Стивена Гласса,США,Билли Рэй,драма,2003
"Афера Томаса Крауна (фильм, 1968)",США,Норман Джуисон,детективный фильм,1968 и 26 июня 1968[1]
"Афера Томаса Крауна (фильм, 1999)",США,Джон Мактирнан,"детектив
мелодрама",1999
Афера Цеплиса,СССР,Роланд Калныньш,драма,1972
Аферист (фильм),Великобритания,Джеймс Дирден,драма криминальный фильм исторический фильм,1999
Аферист из Tinder,Великобритания,Фелисити Моррис[d],документальный фильм и настоящее преступление,2 февраля 2022
Аферистка,США,Дж. Блэйксон,сатирический чёрно-комедийный триллер,2020
"Аферисты (фильм, 1990)",СССР,Всеволод Шиловский,комедия,1990
"Аферисты (фильм, 1998)",США,Майкл Мартин,комедия,1998
"Аферисты (фильм, 2023)",США,Бенджамин Карон,криминальный триллер,2023
Аферисты поневоле,США Великобритания,Джеймс Окли,комедия-боевик,2018
Аферисты: Дик и Джейн развлекаются,США,Дин Паризо,комедиядетективный фильм,2005
"Афёры, музыка, любовь...",Россия,Георгий Юнгвальд-Хилькевич,комедия,1997
"Афина (фильм, 2022)",Франция,Ромен Гаврас,"Триллер, драма",2022
Афоня,СССР,Георгий Данелия,лирическая трагикомедиямелодрама,1975
Африка: Кровь и красота,Россия Франция Марокко Мали Камерун Намибия Эфиопия Ботсвана,Сергей Ястржембский,документальное кино,2012
Африканская королева,США[2][3] Великобритания[2][3],Джон Хьюстон,военная мелодрама,1951
Африканыч,СССР,Михаил Ершов,мелодрама,1970
Афросамурай: Воскрешение,Япония,Фумитомо Кидзаки,"фантастика, драма, боевик, самурайский боевик",2009
Афтершок (фильм),США Чили,Николас Лопес,триллерфильм ужасов,2013
Афула Экспресс,Израиль,Julie Shles[d][1],комедийная драма,1997
"Ах, водевиль, водевиль…",СССР,Георгий Юнгвальд-Хилькевич,"комедия,водевиль,мюзикл",
"Ах, зачем эта ночь так была хороша",Российская империя,Александр Аркатов,драма,1916
"Ах, мужчины! Ах, женщины!",США,Наннэлли Джонсон,комедия,1957
"Ах, эти брюки",Российская империя  Царство Польское,Эдвард Пухальский,"фарс, кинокомедия",1914
Ах! Эти прекрасные вакханки,Франция  Италия,Жан Лубиньяк,комедия,1954
«Ахап Ереч» Роальда Даля,Великобритания,Дирбла Уолш,экранизация романа[d],
Ахиллес и черепаха (фильм),Япония,Такэси Китано,комедия,2008
Ашанти (фильм),США,Ричард Флейшер,боевикприключенческий фильмдраматриллер,1979
Ашик-Кериб (фильм),СССР,Давид АбашидзеСергей Параджанов,драма,1988
Аэлита (фильм),СССР,Яков Протазанов,Фантастика,1924
"Аэлита, не приставай к мужчинам",СССР,Георгий Натансон,трагикомедия,1988
Аэро НТ-54,СССР,Николай Петров,детективный фильмфантастика,1925
Аэроград,СССР,Александр Довженко,драмакинопоэма,1935
Аэронавты,США Великобритания,Том Харпер,"экшн,приключение,биография",2019
Аэроплан II: Продолжение,США,Кен Финклменruen,комедия,1982
Аэроплан!,США,Джим АбрахамсДэвид ЦукерДжерри Цукер,чёрная комедия,1980
"Аэропорт (фильм, 1970)",США,Джордж Ситон,трагикомедийный триллер,1970
Аэропорт 77,США,Джерри Джеймсон,фильм-катастрофа,1977
Аэропорт 1975,США,Джек Смайт,фильм-катастрофа драма,1974
Аэропорт со служебного входа,СССР,Борис Яшин,производственная драма,1986
Аэропорт-79: «Конкорд»,США,Дэвид Лоуэлл Рич,фильм-катастрофабоевикдраматриллер,1979
Ба-бах,США Франция,Грегг Араки,комедия / фантастика,2010
Баария,Италия  Франция,Джузеппе Торнаторе,драмакомедия,2009
Баба Джун,Израиль,Yuval Delshad[d][1],драматический фильм,2015
"Баба Яга (фильм, 1973)",Италия Франция,Коррадо Фарина,эротический фильмужасыджалло,1973
Баба Яга спасает мир,Россия,Карен Захаров,фэнтезисемейная комедия,2023
Бабадук,Австралия Канада,Дженнифер Кент[en],фильм ужасовтриллертёмное фэнтези,2014
Бабба Хо-Теп,США,Дон Коскарелли,фильм ужасовкинокомедия,2002
Бабек (фильм),СССР,Эльдар Кулиев,исторический фильм  фильм-биография,1979
Бабетта идёт на войну,Франция,Кристиан-Жак,"комедийный фильм, военный фильм и фарс",1959
"Бабий Яр (фильм, 2003)","Германия, Белоруссия",Джеф Кэнью,драма,2003
Бабич (фильм),Россия,Булат Юсупов,"байопик, драма, исторический",2017
Бабло (фильм),Россия,Константин Буслов,КомедияКриминал,2011
"Бабник (фильм, 1990)",СССР,Анатолий Эйрамджан,комедия,1990
"Бабник (фильм, 2009)",США,Дэвид Маккензи,комедия / драма / мелодрама,2009
"Бабочка (фильм, 1972)",Польша,Януш Насфетер,"семейный, мелодрама, драма",1972
"Бабочка (фильм, 1977)",СССР,Нинель НеноваГено Цулая,комедия,1977
"Бабочка (фильм, 2004)",Гонконг,Май Ваньсинь,драма,2004
"Бабочка (фильм, 2015)",Аргентина,Марко Бергер[1][2],драматический фильм и ЛГБТ-фильм[d],2015
Бабочки (фильм),СССР   Польша,Андрей Малюков,детектив  драма  мелодрама  триллер,1991
Бабочки в животе,Канада Ирландия,Зересенай Мехари,драматический фильм,2019
Бабочки свободны,США,Милтон Кацелас[en],"комедия
драма",1972
Бабочки-убийцы,Гонконг,Цуй Харк,боевикфильм ужасовмистика,1979
Бабуся (фильм),Россия,Лидия Боброва,драма,2003
"Бабушка (фильм, 1940)",Протекторат Богемии и Моравии,Франтишек Чап,драма,1940
"Бабушка (фильм, 1971)",Чехословакия,Антонин Москалик[d],драма,1971
"Бабушка (фильм, 2015)",США,Пол Вайц,комедия-драма,2015
"Бабушка (фильм, 2021)",Испания Франция,Пако Пласа,фильм ужасов,2021
Бабушка для всех,СССР,Нана Двалишвили,Музыкальный фильм,1987
Бабушка лёгкого поведения,Россия,Марюс Вайсберг,комедия,2017
Бабушка лёгкого поведения 2. Престарелые мстители,Россия,Марюс Вайсберг,комедия,2019
Бабушка-генерал,СССР,Мелис Абзалов,драма,1982
Бабушки и внучата,СССР,Нана Мчедлидзе,драма,1969
Бабушки надвое сказали…,СССР,Валерий Харченко Юрий Клебанов,комедиямузыкальный фильм,
Бабушкин внук,СССР,Адольф Бергункер,киноповестьсемейный фильмдрама,1979
Бабушкин дом,США,Питер Рейдер,"ужасы
триллер",1988
Бабушкина лупа,Великобритания,Джордж Альберт Смит,короткометражка,1900
Бабы,СССР,Владимир Баталов,драма,1940
Бабы рязанские,СССР,Ольга ПреображенскаяИван Правов,драма,1927
Бабье царство (фильм),СССР,Алексей Салтыков,Военная драма,1967
"Багажник (фильм, 1961)",Великобритания,Донован Винтер,триллер,1961
"Багдадский вор (фильм, 1924)",США,Рауль Уолш,сказкафэнтези,1924
"Багдадский вор (фильм, 1940)",Великобритания,Людвиг БергерМайкл ПауэллТим Уэлан,приключенческий фильмсемейный фильмсказка,1940 и 25 декабря 1940[1]
БАгИ,Россия,Андрей Богатырёв,драма,2011
Багратион (фильм),СССР,Гиули ЧохонелидзеКараман Мгеладзе,историко-биографический фильм,1985
"Багровая мгла (фильм, 2008)",Великобритания,Пэдди Бретнэк,Ужасытриллер,2008
Багровая мята,США,Пьер Морель,боевиктриллер,2018
Багровое золото,Иран,Джафар Панахи,драма,2003
Багровые реки,Франция,Матьё Кассовиц,"триллер, остросюжетная драма, фильм ужасов",2000
Багровые реки 2: Ангелы апокалипсиса,Франция Великобритания Италия,Оливье Даан,триллер,2004 и 8 апреля 2004[3]
Багровый коготь,США,Рой Уильям Нил,детектив,"1944, 18 мая 1944[1] и 26 мая 1944[1]"
Багровый пик,США Канада,Гильермо дель Торо,ужасыготикамелодрама,2015
Багровый прилив,США,Тони Скотт,драматриллер,1995
Багровый цвет снегопада,Россия,Владимир Мотыль,драма,2009
Багряный занавес,Франция,Александр Астрюк,историческая драма,1952
Багси,США,Барри Левинсон,байопикгангстерский фильм,1991
Багси Мэлоун,Великобритания,Алан Паркер,комедиякриминальный фильмсемейный фильммюзикл,1976
Баджирао и Мастани,Индия,Санджай Лила Бхансали,"биографический фильм, драматический фильм, боевик, романтический фильм и исторический фильм",2015
Бадья крови,США,Роджер Корман,комедиятриллер,1959
База «Клейтон»,США,Джон Мактирнан,боевик / триллер,2003
База (фильм),США,Марк Лестер,боевикдрама,1999
База мёртвых людей,ПНР,Чеслав Петельский,"драма, экранизация",1958
Бай и батрак,Нет информации,,,
БайБайМэн,США,Стэйси Тайтл,фильм ужасов о сверхъестественном,2017
Байджу Бавра,Индия,Виджай Бхатт,музыкальный фильм-драма,1952
Байка (фильм),СССР,"Георгий Бурков

Герман Лавров",драма,1987
Байкер-убийца,США,Том Каллоуэй,боевик,1999
Байкерши в городе зомби,США,Дэн Хоскинс,чёрная комедия,1989
"Байкеры (фильм, 2000)",Канада,Мишель Жетте,боевик,2000
"Байкеры (фильм, 2003)",США,Реджи Рок Байтвуд,мелодрамабоевик,2003
"Байкеры (фильм, 2004)",Индия,Санджай Гадхви,боевиккомедия,2004
"Байкеры (фильм, 2023)",США,Джефф Николс,"драматический фильм, экранизация книги[d] и байкерский фильм","31 августа 2023, 21 июня 2024 и 23 августа 2024"
Байкеры 2: Настоящие чувства,Индия,Санджай Гадхви,боевиктриллермелодрама,2006
Байкеры 3,Индия,Виджай Кришна Ачария  (англ.) (рус.,боевик / триллер,2013
Байки из склепа (фильм),США   Великобритания,Фредди Фрэнсис,комедия ужасов,1972
Байки из склепа: Демон ночи,США,Эрнест ДикерсонГилберт Адлер,Фильм ужасовкомедия,1995
Байки из склепа: Кровавый бордель,США,Гилберт Адлер,Фильм ужасовКомедия,1996
"Байки у костра (фильм, 1997)",США,Мартин КунертДевид СемелМэтт Купер[1],фильм ужасов,1997
"Байрон (фильм, 2003)",Великобритания,Джулиан Фарино,драма,
Бак Роджерс в XXV веке (фильм),США,Дэниел Хэллер[2],"боевик[2], научно-фантастический фильм[2] и приключенческий фильм[2]","30 марта 1979[1], 12 июля 1979[1], 25 июля 1979[1], 26 июля 1979[1], 26 июля 1979[1], 30 июля 1979[1], 31 августа 1979[1], 13 сентября 1979[1], 12 октября 1979[1], 17 декабря 1979[1] и 21 января 1980[1]"
Бакенбарды (фильм),СССР,Юрий Мамин,комедия,1990
Баки Ларсон: Рождённый быть звездой,США,Том Брейди,комедия,2011
Бакинцы,СССР,Виктор Турин,исторический фильм,"Рза Афганлы, Борис Байков, Васо Годзиашвили, Ваче Багратуни, Алисаттар Меликов, Мустафа Марданов, Андрей Костричкин, Мовсун Санани"
Бакстер (фильм),США,Майкл Шоуолтер,романтическая комедиясатира,2005
Бал (фильм),Франция  Италия  Алжир,Этторе Скола,музыкальный фильмисторический фильм,1983
Бал безумных женщин,Франция,Мелани Лоран,драматический фильм,"Ален Годман
Axelle Boucaï"
Бал в доме Андзё,Япония,Кодзабуро Ёсимура,драма,1947
Бал вампиров,Великобритания  США,Роман Полански,комедийный фильм ужасов,1967
Бал монстров,США,Марк Форстер,драма / мелодрама,2001
Бал официантов,США,Роско Арбакл,комедия,1916
Бал пожарных (фильм),Чехословакия Италия,Милош Форман,комедиядрама,1967
Бал-маскарад (фильм),Австро-Венгрия,Альфред Деэши,драматический фильм и немое кино,1917
Бала (фильм),Индия,Сатьяджит Рай,документальный фильм,1976
Балаган (фильм),СССР,Андрей Бенкендорф,трагикомедия,1990
"Балалайка (фильм, 1939)",США,Райнхольд Шюнцель,"мюзикл, мелодрама",1939
"Балалайка (фильм, 2000)",Турция,Али Озгентюрк,драма,2000
Баламут (фильм),СССР,Владимир Роговой,комедия,1978
Балбесы (фильм),США,Ричард Доннер,"приключенческий фильм
комедия",1985
Балда (фильм),США,Уинчел Смит,комедия,1920
"Балерина (фильм, 1993)",Россия,Александр Згуриди,драма,1993
"Балерина (фильм, 2024)",США,Лен Уайзман,"боевик
триллер",2024
Балет пуль,Япония,Синъя Цукамото,"драма, триллер",1998
Балетные туфельки (фильм),Великобритания,Сандра Голдбахер,драмасемейный фильм,
Балибо (фильм),Австралия,Роберт Коннолли,драма,2009
Балканский мальчик,Македония,Светозар Ристовский,драма,2004
Балканский рубеж,Россия Сербия,Андрей Волгин,военно-драматический боевик,2019
Балканский шпион,Югославия,Душан КовачевичБожидар Николич,драма кинокомедия,1984
Балканский экспресс,Югославия,Бранко Балетич,военный кинокомедия,1983
"Балкон (фильм, 1963)",США,Джозеф Стрик,драма,1963
"Балкон (фильм, 1988)",СССР,Калыкбек Салыков,драматический фильм[1],1988
"Балкон (фильм, 2008)",Литва,Гедре Бейнорюте,"драма, семейный",2008
Баллада Бастера Скраггса,США,Джоэл КоэнИтан Коэн,"вестерн, драма, чёрная комедия, притча",2018
Баллада о Беринге и его друзьях,СССР,Юрий Швырёв,историко-биографический,1970
Баллада о бомбере,Россия Украина,Виталий Воробьёв,"военный фильм, приключения, боевик",2011
